spot_symbol,trade_symbol,Buy_Sell,Lots,trade_qty,entry_price,entry_time,sl,exit_price,exit_time,pnl,virtual_live
NSE:NIFTY BANK,BANKNIFTY23SEP44800CE,SELL,10,150,170.3,10:16:48,25.0,170.3,10:36:29,0.0,virtual
NSE:NIFTY FIN SERVICE,FINNIFTY23SEP19750PE,BUY,5,200,15.7,11:00:13,5.0,10.7,11:07:20,1010.0,virtual
NSE:NIFTY FIN SERVICE,FINNIFTY23SEP19850CE,SELL,5,200,13.35,11:24:54,5.0,18.35,11:31:09,-960.0,virtual
NSE:NIFTY BANK,BANKNIFTY23SEP44700CE,SELL,5,75,184.95,12:05:14,20.0,164.95,12:46:15,2865.0,virtual
NSE:NIFTY FIN SERVICE,FINNIFTY23SEP19750PE,BUY,5,200,12.75,12:48:24,5.0,7.75,13:05:14,-990.0,virtual
NSE:NIFTY FIN SERVICE,FINNIFTY23SEP19800CE,BUY,5,200,35.5,13:37:00,5.0,30.5,13:39:49,-990.0,virtual
NSE:NIFTY FIN SERVICE,FINNIFTY23SEP19900CE,SELL,5,200,5.95,13:47:43,5.0,5.95,15:20:11,1180.0,virtual
