Unnamed: 0,spot_symbol,trade_symbol,trade_direction,Lots,trade_qty,entry_price,entry_time,sl,exit_priceexit_time,pnl,exit_price,exit_time
0.0,NSE:NIFTY BANK,BANKNIFTY23SEP44500CE,SELL,10,150,260.85,11:35:50.872220,2.0,,300.0,258.85,11:36:35.068009
,NSE:NIFTY FIN SERVICE,FINNIFTY23SEP19800CE,SELL,10,400,54.75,12:10:34.103994,5.0,,-2000.0,59.75,12:12:19.396600
,NSE:NIFTY MID SELECT,MIDCPNIFTY239299125CE,SELL,1,75,50.65,12:34:37.948078,1.0,,0.0,50.65,12:34:46.043773
,NSE:NIFTY MID SELECT,MIDCPNIFTY23SEP9125CE,SELL,1,75,10.4,12:36:44.116097,1.0,,150.0,8.4,12:37:58.473858
,NSE:NIFTY FIN SERVICE,FINNIFTY23SEP19900CE,SELL,10,400,52.5,13:47:32.423534,6.0,,7200.0,34.5,13:56:34.061619
,NSE:NIFTY BANK,BANKNIFTY23SEP44800CE,SELL,5,75,192.25,14:40:20.349882,20.0,,0.0,192.25,14:50:21.142656
